# packages in environment at /opt/miniconda3/envs/geovis:
#
# Name                    Version                   Build  Channel
_openmp_mutex             4.5                  7_kmp_llvm    conda-forge
anyio                     4.12.1             pyhcf101f3_0    conda-forge
appnope                   0.1.4              pyhd8ed1ab_1    conda-forge
argon2-cffi               25.1.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      25.1.0          py311h9408147_2    conda-forge
arrow                     1.4.0              pyhcf101f3_0    conda-forge
asttokens                 3.0.1              pyhd8ed1ab_0    conda-forge
async-lru                 2.1.0              pyhcf101f3_0    conda-forge
attrs                     25.4.0             pyhcf101f3_1    conda-forge
babel                     2.17.0             pyhd8ed1ab_0    conda-forge
backports.zstd            1.3.0           py311hee243d0_0    conda-forge
beautifulsoup4            4.14.3             pyha770c72_0    conda-forge
bleach                    6.3.0              pyhcf101f3_0    conda-forge
bleach-with-css           6.3.0                h5f6438b_0    conda-forge
brotli                    1.2.0                h7d5ae5b_1    conda-forge
brotli-bin                1.2.0                hc919400_1    conda-forge
brotli-python             1.2.0           py311hdc60ec4_1    conda-forge
bzip2                     1.0.8                h80987f9_6  
ca-certificates           2026.1.4             hbd8a1cb_0    conda-forge
cached-property           1.5.2                hd8ed1ab_1    conda-forge
cached_property           1.5.2              pyha770c72_1    conda-forge
certifi                   2026.1.4           pyhd8ed1ab_0    conda-forge
cffi                      1.17.1          py311h3a79f62_0    conda-forge
charset-normalizer        3.4.4              pyhd8ed1ab_0    conda-forge
comm                      0.2.3              pyhe01879c_0    conda-forge
contourpy                 1.3.3           py311h7d85929_4    conda-forge
cycler                    0.12.1             pyhcf101f3_2    conda-forge
debugpy                   1.8.19          py311hc58e375_0    conda-forge
decorator                 5.2.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
exceptiongroup            1.3.1              pyhd8ed1ab_0    conda-forge
executing                 2.2.1              pyhd8ed1ab_0    conda-forge
expat                     2.7.3                h50f4ffc_4  
fonttools                 4.61.1          py311ha9b3269_0    conda-forge
fqdn                      1.5.1              pyhd8ed1ab_1    conda-forge
freetype                  2.14.1               hce30654_0    conda-forge
h11                       0.16.0             pyhcf101f3_1    conda-forge
h2                        4.3.0              pyhcf101f3_0    conda-forge
hpack                     4.1.0              pyhd8ed1ab_0    conda-forge
httpcore                  1.0.9              pyh29332c3_0    conda-forge
httpx                     0.28.1             pyhd8ed1ab_0    conda-forge
hyperframe                6.1.0              pyhd8ed1ab_0    conda-forge
icu                       78.2                 h38cb7af_0    conda-forge
idna                      3.11               pyhd8ed1ab_0    conda-forge
importlib-metadata        8.7.0              pyhe01879c_1    conda-forge
ipykernel                 7.1.0              pyh5552912_0    conda-forge
ipython                   9.9.0              pyh53cf698_0    conda-forge
ipython_pygments_lexers   1.1.1              pyhd8ed1ab_0    conda-forge
isoduration               20.11.0            pyhd8ed1ab_1    conda-forge
jedi                      0.19.2             pyhd8ed1ab_1    conda-forge
jinja2                    3.1.6              pyhcf101f3_1    conda-forge
json5                     0.13.0             pyhd8ed1ab_0    conda-forge
jsonpointer               3.0.0              pyhcf101f3_3    conda-forge
jsonschema                4.26.0             pyhcf101f3_0    conda-forge
jsonschema-specifications 2025.9.1           pyhcf101f3_0    conda-forge
jsonschema-with-format-nongpl 4.26.0               hcf101f3_0    conda-forge
jupyter-lsp               2.3.0              pyhcf101f3_0    conda-forge
jupyter_client            8.8.0              pyhcf101f3_0    conda-forge
jupyter_core              5.9.1              pyhc90fa1f_0    conda-forge
jupyter_events            0.12.0             pyh29332c3_0    conda-forge
jupyter_server            2.17.0             pyhcf101f3_0    conda-forge
jupyter_server_terminals  0.5.4              pyhcf101f3_0    conda-forge
jupyterlab                4.5.3              pyhd8ed1ab_0    conda-forge
jupyterlab_pygments       0.3.0              pyhd8ed1ab_2    conda-forge
jupyterlab_server         2.28.0             pyhcf101f3_0    conda-forge
kiwisolver                1.4.9           py311h26d6576_2    conda-forge
krb5                      1.21.3               h237132a_0    conda-forge
lark                      1.3.1              pyhd8ed1ab_0    conda-forge
lcms2                     2.18                 hdfa7624_0    conda-forge
lerc                      4.0.0                hd64df32_1    conda-forge
libblas                   3.11.0          5_h51639a9_openblas    conda-forge
libbrotlicommon           1.2.0                hc919400_1    conda-forge
libbrotlidec              1.2.0                hc919400_1    conda-forge
libbrotlienc              1.2.0                hc919400_1    conda-forge
libcblas                  3.11.0          5_hb0561ab_openblas    conda-forge
libcxx                    21.1.8               hb4ce287_0  
libdeflate                1.25                 hc11a715_0    conda-forge
libedit                   3.1.20250104    pl5321hafb1f1b_0    conda-forge
libexpat                  2.7.3                h50f4ffc_4  
libffi                    3.4.4                hca03da5_1  
libfreetype               2.14.1               hce30654_0    conda-forge
libfreetype6              2.14.1               h6da58f4_0    conda-forge
libgcc                    15.2.0              hcbb3090_16    conda-forge
libgfortran               15.2.0              h07b0088_16    conda-forge
libgfortran5              15.2.0              hdae7583_16    conda-forge
libjpeg-turbo             3.1.2                hc919400_0    conda-forge
liblapack                 3.11.0          5_hd9741b5_openblas    conda-forge
liblzma                   5.8.2                h8088a28_0    conda-forge
liblzma-devel             5.8.2                h8088a28_0    conda-forge
libopenblas               0.3.30          openmp_ha158390_4    conda-forge
libpng                    1.6.54               h132b30e_0    conda-forge
libsodium                 1.0.20               h99b78c6_0    conda-forge
libsqlite                 3.51.2               h1ae2325_0    conda-forge
libtiff                   4.7.1                h4030677_1    conda-forge
libwebp-base              1.6.0                h07db88b_0    conda-forge
libxcb                    1.17.0               hdb1d25a_0    conda-forge
libzlib                   1.3.1                h5f15de7_0  
llvm-openmp               21.1.8               h4a912ad_0    conda-forge
markupsafe                3.0.3           py311ha9b3269_0    conda-forge
matplotlib                3.10.8          py311ha1ab1f8_0    conda-forge
matplotlib-base           3.10.8          py311h29553df_0    conda-forge
matplotlib-inline         0.2.1              pyhd8ed1ab_0    conda-forge
mistune                   3.2.0              pyhcf101f3_0    conda-forge
munkres                   1.1.4              pyhd8ed1ab_1    conda-forge
nbclient                  0.10.4             pyhd8ed1ab_0    conda-forge
nbconvert-core            7.16.6             pyhcf101f3_1    conda-forge
nbformat                  5.10.4             pyhd8ed1ab_1    conda-forge
ncurses                   6.5                  hee39554_0  
nest-asyncio              1.6.0              pyhd8ed1ab_1    conda-forge
notebook-shim             0.2.4              pyhd8ed1ab_1    conda-forge
numpy                     2.4.1           py311had1e860_0    conda-forge
openjpeg                  2.5.4                hbfb3c88_0    conda-forge
openssl                   3.6.0                h5503f6c_0    conda-forge
