GEO_ID,Total,Male,Female
371190001011,25.8,26.3,23.0
371190001012,49.9,41.1,57.5
371190001021,45.1,41.9,45.3
371190001022,25.9,29.0,25.4
371190001031,30.6,30.3,31.1
371190001041,35.5,35.0,44.3
371190003011,33.0,34.7,31.8
371190003021,26.8,26.5,31.6
371190003022,30.8,27.0,33.6
371190004011,25.9,27.0,25.1
371190004021,25.6,25.3,26.3
371190004022,25.6,26.2,24.7
371190005011,26.8,25.5,30.1
371190005012,24.9,29.4,20.5
371190005021,24.9,26.0,24.8
371190005031,40.0,40.1,37.8
371190005032,44.1,44.7,42.2
371190006001,27.3,27.8,27.2
371190006002,30.7,31.5,26.6
371190006003,31.5,31.8,28.8
371190007001,31.0,31.4,30.5
371190007002,31.4,31.6,31.0
371190008001,37.9,38.0,37.4
371190008002,28.1,27.4,30.5
371190009001,37.5,37.5,37.6
371190009002,33.2,34.4,31.3
371190010001,46.1,48.8,42.2
371190010002,34.7,35.2,34.4
371190010003,32.2,33.6,30.5
371190011001,37.2,37.1,37.3
371190011002,39.8,26.9,48.8
371190011003,31.2,32.4,30.5
371190012001,27.4,25.2,32.5
371190012002,39.8,38.0,46.3
371190012003,38.8,42.6,36.4
371190013001,35.3,34.5,37.3
371190013002,36.7,39.3,34.4
371190013003,34.1,32.0,34.5
371190014001,31.3,32.1,30.2
371190014002,32.4,34.7,29.6
371190015041,39.2,38.3,39.6
371190015042,34.9,34.6,35.9
371190015043,44.8,35.5,52.6
371190015051,43.5,31.9,46.4
371190015052,29.1,29.3,29.1
371190015071,18.9,20.6,18.3
371190015072,41.5,33.2,44.4
371190015073,25.2,26.0,23.1
371190015081,41.2,41.7,36.9
371190015082,34.7,32.4,38.5
371190015083,33.7,26.0,38.4
371190015091,41.9,39.6,42.0
371190015092,30.6,28.8,33.2
371190015101,31.5,29.5,33.3
371190015102,62.6,63.4,62.3
371190016031,44.3,39.8,44.7
371190016032,30.7,30.8,30.0
371190016033,41.2,41.7,39.4
371190016051,34.5,38.7,28.6
371190016061,36.2,36.1,38.2
371190016062,33.6,30.5,35.4
371190016071,32.7,25.9,39.5
371190016081,32.9,34.0,32.5
371190016082,42.3,48.9,36.4
371190016091,44.8,30.5,47.0
371190016092,35.4,30.5,41.8
371190017011,33.4,29.6,36.3
371190017012,29.7,29.9,29.1
371190017021,43.1,44.2,42.8
371190017022,37.3,37.8,35.4
371190017023,29.7,30.6,29.4
371190017024,24.9,24.9,24.8
371190018011,42.4,50.0,41.4
371190018012,33.0,27.6,51.3
371190018013,33.1,42.8,29.6
371190018021,39.6,44.6,32.0
371190018022,38.7,38.8,38.3
371190019101,25.3,26.3,23.4
371190019102,43.7,46.7,43.1
371190019103,25.7,29.2,23.6
371190019111,30.9,38.0,29.6
371190019112,43.4,41.0,45.3
371190019113,31.7,29.8,41.0
371190019141,24.4,29.5,23.0
371190019142,35.6,35.3,36.2
371190019161,37.1,37.0,38.1
371190019162,32.0,34.5,31.1
371190019171,30.5,26.8,39.0
371190019172,32.4,26.6,40.1
371190019181,39.8,39.6,43.3
371190019182,33.4,31.8,34.3
371190019183,28.1,9.0,32.2
371190019191,35.7,36.5,30.2
371190019192,39.5,39.2,39.6
371190019193,29.6,29.7,28.9
371190019201,30.0,34.3,29.4
371190019202,27.7,26.8,28.0
371190019203,36.9,39.0,35.5
371190019211,36.9,28.1,48.2
371190019221,31.3,33.1,29.6
371190019222,34.8,25.3,42.2
371190019231,38.7,38.7,38.6
371190019232,42.1,33.7,49.2
371190019241,33.2,27.6,37.9
371190019251,20.1,19.0,21.5
371190019252,28.9,25.6,30.6
371190019253,31.9,31.5,34.3
371190019261,34.1,28.2,34.9
371190019262,36.1,41.4,34.3
371190019271,45.3,47.6,45.1
371190019272,34.3,34.4,28.7
371190020041,53.7,49.6,56.2
371190020042,32.8,14.6,44.1
371190020043,30.2,30.2,30.3
371190020051,47.4,52.1,42.6
371190020052,36.8,40.6,36.2
371190020061,33.6,37.1,30.4
371190020062,43.6,41.3,45.5
371190020071,48.5,48.1,48.7
371190020072,33.3,13.2,50.7
371190020081,39.6,39.3,39.8
371190020082,52.5,42.6,63.5
371190020083,39.9,39.0,56.9
371190021001,33.2,35.2,31.8
371190021002,40.8,40.9,40.7
371190022011,40.9,41.1,38.9
371190022012,34.1,37.3,33.1
371190022021,44.0,43.7,44.3
371190022022,29.1,28.7,29.4
371190023001,63.3,34.8,66.7
371190023002,21.6,21.4,22.0
371190024001,28.8,30.1,27.8
371190024002,34.5,35.5,31.4
371190024003,49.2,58.3,38.6
