GEO_ID,B01001_001E
371190001011,499
371190001012,750
371190001021,1243
371190001022,1393
371190001031,2037
371190001041,1919
371190003011,1102
371190003021,871
371190003022,513
371190004011,1813
371190004021,947
371190004022,1314
371190005011,504
371190005012,1559
371190005021,1569
371190005031,1389
371190005032,102
371190006001,1617
371190006002,1645
371190006003,724
371190007001,670
371190007002,1823
371190008001,1997
371190008002,990
371190009001,715
371190009002,1117
371190010001,1047
371190010002,599
371190010003,1679
371190011001,1529
371190011002,257
371190011003,1781
371190012001,2257
371190012002,1121
371190012003,1636
371190013001,2070
371190013002,1232
371190013003,618
371190014001,1602
371190014002,2141
371190015041,3220
371190015042,1791
371190015043,1050
371190015051,1176
371190015052,3905
371190015071,1631
371190015072,1080
371190015073,2424
371190015081,2867
371190015082,2153
371190015083,1026
371190015091,881
371190015092,2603
371190015101,2836
371190015102,636
371190016031,2062
371190016032,1680
371190016033,942
371190016051,1671
371190016061,3104
371190016062,1204
371190016071,2694
371190016081,2451
371190016082,1603
371190016091,567
371190016092,2285
371190017011,1409
371190017012,3034
371190017021,1577
371190017022,762
371190017023,738
371190017024,3651
371190018011,326
371190018012,325
371190018013,596
371190018021,1675
371190018022,1853
371190019101,2496
371190019102,1321
371190019103,1519
371190019111,922
371190019112,2127
371190019113,3042
371190019141,2363
371190019142,1918
371190019161,1642
371190019162,2843
371190019171,1903
371190019172,2399
371190019181,202
371190019182,2129
371190019183,1667
371190019191,1121
371190019192,1333
371190019193,1162
371190019201,1550
371190019202,2070
371190019203,1778
371190019211,2608
371190019221,3202
371190019222,2696
371190019231,2796
371190019232,817
371190019241,2901
371190019251,1100
371190019252,986
371190019253,2843
371190019261,832
371190019262,2484
371190019271,1013
371190019272,1531
371190020041,1800
371190020042,1735
371190020043,1805
371190020051,1353
371190020052,1642
371190020061,2093
371190020062,1895
371190020071,1081
371190020072,1389
371190020081,1642
371190020082,1006
371190020083,535
371190021001,923
371190021002,2191
371190022011,1349
371190022012,1331
371190022021,1023
371190022022,1902
371190023001,356
371190023002,2648
371190024001,1746
371190024002,1153
371190024003,364
371190025001,1515
371190025002,894
371190026001,1628
371190027011,986
371190027012,1326
371190027013,667
371190027021,2983
371190027022,1931
371190027023,961
371190028001,1044
371190028002,1307
371190028003,1330
371190029031,1425
371190029032,1101
371190029033,1973
371190029051,1795
371190029052,1630
371190029071,2477
371190029072,1746
371190029081,1023
371190029082,1001
371190029083,1598
371190029091,1542
371190029101,871
371190029102,1132
371190029103,1171
371190030061,2123
371190030062,2326
371190030081,3214
371190030082,1639
371190030083,1422
371190030121,1781
371190030122,2173
371190030131,2433
371190030132,2432
371190030151,1594
371190030152,2202
371190030153,1761
371190030161,1773
371190030162,981
371190030163,1515
371190030171,1528
371190030172,2148
371190030181,2524
371190030191,932
371190030192,1214
371190030201,1121
371190030202,1921
371190030203,1228
371190030211,1111
371190030212,1694
371190030221,1298
371190030222,421
371190030223,2055
371190031021,1887
371190031022,1216
371190031023,977
371190031051,1422
371190031052,2232
371190031061,2451
371190031062,2143
371190031081,1839
371190031082,2186
371190031091,2786
371190031092,1478
371190031101,2196
371190031111,1962
371190031112,679
371190031113,1161
371190032011,935
371190032012,1559
371190032031,2246
371190032032,732
371190032041,755
371190032042,1160
371190032043,1220
371190033011,1012
371190033012,594
371190033021,1673
371190033022,921
371190034011,763
371190034012,1472
371190034021,1417
371190034022,805
371190034023,1296
371190035001,1525
371190035002,1277
371190036001,1233
371190036002,1319
371190036003,1290
371190036004,336
371190037011,1649
371190037012,125
371190037021,1255
371190037022,984
371190038021,844
371190038022,1225
371190038023,1702
371190038051,1561
371190038052,2412
371190038071,2116
371190038072,3084
371190038081,1919
371190038082,868
371190038083,3289
371190038091,1624
371190038092,2302
371190038101,2323
371190038102,2625
371190038111,2273
371190039021,811
371190039022,1961
371190039023,920
371190039024,1347
371190039031,1045
371190039032,1289
371190040001,565
371190040002,873
371190040003,1332
371190040004,1093
371190041011,1066
371190041012,678
371190041021,915
371190041022,2012
371190042001,406
371190042002,610
371190042003,372
371190042004,1278
371190043021,1124
371190043022,2531
371190043023,974
371190043031,3238
371190043041,2945
371190043042,953
371190043061,1013
371190043062,2117
371190043071,4595
371190044001,916
371190044002,1344
371190044003,1566
371190045001,987
371190045002,1120
371190045003,983
371190046001,1213
371190046002,1449
371190047001,1643
371190048001,1066
371190048002,843
371190048003,802
371190049001,570
371190050001,1308
371190050002,1451
371190051001,1147
371190051002,1557
371190052001,454
371190052002,306
371190052003,1164
371190053011,3876
371190053012,685
371190053051,1282
371190053052,1382
371190053053,2017
371190053061,768
371190053062,1628
371190053071,1965
371190053072,2166
371190053081,1740
371190053082,839
371190054031,4554
371190054032,1485
371190054041,2141
371190054042,2588
371190054051,1628
371190054052,1800
371190054061,2225
371190054062,1590
371190055081,2529
371190055082,1771
371190055101,3224
371190055102,2586
371190055103,1908
371190055111,1050
371190055112,1563
371190055113,826
371190055121,1178
371190055122,1931
371190055123,2804
371190055131,1820
371190055132,1287
371190055133,868
371190055151,2715
371190055161,1808
371190055171,1019
371190055172,901
371190055173,2020
371190055191,1920
371190055192,500
371190055193,2959
371190055201,669
371190055202,2300
371190055203,2157
371190055221,1700
371190055222,2520
371190055223,1041
371190055251,2205
371190055252,2170
371190055261,2661
371190055262,581
371190055271,3028
371190055281,1716
371190055282,2255
371190055291,1676
371190055301,3338
371190055302,302
371190055311,1683
371190055312,4922
371190055321,1316
371190055322,3190
371190055331,1073
371190055341,700
371190055342,2208
371190055343,2319
371190055351,775
371190055352,3236
371190055361,980
371190055362,1752
371190055363,1754
371190055364,1355
371190056041,2233
371190056042,3001
371190056043,1191
371190056091,2035
371190056092,1276
371190056101,1076
371190056102,1567
371190056111,709
371190056112,3128
371190056121,2719
371190056122,3074
371190056131,3756
371190056151,2521
371190056161,2279
371190056171,1909
371190056172,1622
371190056181,1745
371190056182,1740
371190056191,3509
371190056192,1926
371190056211,4349
371190056212,1307
371190056213,1088
371190056221,1185
371190056222,846
371190056231,1669
371190056232,2033
371190056241,2502
371190056251,4076
371190056252,2224
371190056261,3859
371190056271,3285
371190056272,1923
371190056273,2545
371190057091,2563
371190057092,2162
371190057101,2087
371190057102,2712
371190057121,1866
371190057122,1453
371190057131,2344
371190057132,2116
371190057141,3324
371190057142,1410
371190057143,1497
371190057151,2942
371190057161,2070
371190057162,3548
371190057181,1663
371190057182,1896
371190057191,2146
371190057192,1756
371190057201,2080
371190057211,559
371190057212,3058
371190057221,2242
371190057231,1802
371190057232,1930
371190058111,2005
371190058112,927
371190058113,1531
371190058151,2579
371190058152,731
371190058161,3161
371190058162,992
371190058171,1019
371190058172,3297
371190058241,2813
371190058242,2129
371190058261,715
371190058262,2487
371190058271,2568
371190058281,2434
371190058282,273
371190058283,1001
371190058291,564
371190058292,1515
371190058301,1713
371190058302,1730
371190058321,2917
371190058331,1027
371190058332,2662
371190058333,1794
371190058341,2989
371190058342,1316
371190058351,2429
371190058361,2537
371190058362,1304
371190058391,953
371190058392,1607
371190058401,2253
371190058431,1474
371190058432,1617
371190058451,847
371190058452,3969
371190058453,1944
371190058461,1550
371190058462,2360
371190058471,1842
371190058472,2910
371190058473,627
371190058481,2119
371190058482,1954
371190058483,857
371190058491,655
371190058492,3051
371190058501,2960
371190058511,1947
371190058512,2271
371190058521,2022
371190058531,2143
371190058532,214
371190058541,3104
371190058551,1944
371190058552,1255
371190058553,1489
371190058561,2625
371190058571,2197
371190058581,2170
371190058582,2249
371190058591,2725
371190058601,3139
371190058602,1415
371190058611,1663
371190058612,1003
371190058621,3115
371190058631,1547
371190058632,2192
371190058641,1635
371190058642,3252
371190058651,2088
371190058661,2100
371190058662,2014
371190058663,514
371190058671,699
371190058672,3023
371190058681,2796
371190059081,2334
371190059101,2448
371190059102,2945
371190059131,1475
371190059132,2361
371190059133,1526
371190059134,1763
371190059151,495
371190059152,2693
371190059161,1284
371190059162,1436
371190059181,2533
371190059182,1449
371190059183,3410
371190059191,2428
371190059192,820
371190059201,1728
371190059202,498
371190059211,3826
371190059221,2428
371190059222,1626
371190059231,2481
371190059232,3178
371190059241,3560
371190059242,3498
371190059251,3445
371190059261,5936
371190059262,2712
371190059271,5333
371190059272,2572
371190059281,1857
371190059291,2601
371190059292,1454
371190059301,3098
371190059311,1563
371190059312,2599
371190059321,2530
371190060051,1172
371190060052,2354
371190060081,1336
371190060082,2042
371190060091,1359
371190060092,1785
371190060111,3743
371190060121,3370
371190060122,1635
371190060131,1862
371190060132,2959
371190060141,2307
371190060142,1571
371190060151,1592
371190060152,2489
371190060161,1812
371190060162,1008
371190061031,2266
371190061032,2999
371190061051,2730
371190061081,2848
371190061082,1935
371190061091,2836
371190061101,1299
371190061102,1634
371190061103,3358
371190061111,1753
371190061112,2339
371190061121,1557
371190061122,967
371190061131,866
371190061132,2289
371190061141,784
371190061142,2788
371190061151,2909
371190061152,1067
371190062081,713
371190062082,3081
371190062091,1141
371190062092,1983
371190062093,1894
371190062101,2416
371190062102,1928
371190062111,2909
371190062112,3320
371190062121,3136
371190062122,1390
371190062141,1370
371190062142,2915
371190062161,1850
371190062171,1284
371190062172,1943
371190062181,2957
371190062191,3179
371190062201,1424
371190062202,1410
371190062211,4295
371190062221,863
371190062222,2937
371190062231,2774
371190062241,3210
371190063051,4247
371190063061,1607
371190063071,3969
371190063072,1783
371190063081,4317
371190063091,1804
371190063101,3949
371190063111,868
371190063112,2996
371190064031,2182
371190064032,1634
371190064033,2578
371190064041,2283
371190064042,2079
371190064043,2845
371190064071,970
371190064072,2842
371190064081,830
371190064082,1602
371190064091,3673
371190064101,1795
371190064102,1661
371190064111,1782
371190064112,1141
371199801001,0
371199802001,0
371199803001,20
